
EPOCH 0 | Train loss: 0.5035
EPOCH 0 | Validtation loss: 0.4128
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.3831
EPOCH 1 | Validtation loss: 0.3867
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.3842
EPOCH 2 | Validtation loss: 0.3823
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.3814
EPOCH 3 | Validtation loss: 0.3799
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.3827
EPOCH 4 | Validtation loss: 0.3871
EPOCH 4 | Current learning rate: 0.001
EPOCH 5 | Train loss: 0.3774
EPOCH 5 | Validtation loss: 0.3851
EPOCH 5 | Current learning rate: 0.001
EPOCH 6 | Train loss: 0.3776
EPOCH 6 | Validtation loss: 0.3865
EPOCH 6 | Current learning rate: 0.001
EPOCH 7 | Train loss: 0.3795
EPOCH 7 | Validtation loss: 0.3766
EPOCH 7 | Current learning rate: 0.001
EPOCH 8 | Train loss: 0.3781
EPOCH 8 | Validtation loss: 0.3903
EPOCH 8 | Current learning rate: 0.001
EPOCH 9 | Train loss: 0.3806
EPOCH 9 | Validtation loss: 0.3904
EPOCH 9 | Current learning rate: 0.001
EPOCH 10 | Train loss: 0.3795
EPOCH 10 | Validtation loss: 0.3806
EPOCH 10 | Current learning rate: 0.001
EPOCH 11 | Train loss: 0.3796
EPOCH 11 | Validtation loss: 0.3879
EPOCH 11 | Current learning rate: 0.001
EPOCH 12 | Train loss: 0.3796
EPOCH 12 | Validtation loss: 0.3873
EPOCH 12 | Current learning rate: 0.001
EPOCH 13 | Train loss: 0.3763
EPOCH 13 | Validtation loss: 0.3909
EPOCH 13 | Current learning rate: 0.001
EPOCH 14 | Train loss: 0.3787
EPOCH 14 | Validtation loss: 0.391
EPOCH 14 | Current learning rate: 0.0001
EPOCH 15 | Train loss: 0.3801
EPOCH 15 | Validtation loss: 0.3802
EPOCH 15 | Current learning rate: 0.0001
EPOCH 16 | Train loss: 0.3783
EPOCH 16 | Validtation loss: 0.3861
EPOCH 16 | Current learning rate: 0.0001
EPOCH 17 | Train loss: 0.3774
EPOCH 17 | Validtation loss: 0.3926
EPOCH 17 | Current learning rate: 0.0001
EPOCH 18 | Train loss: 0.3797
EPOCH 18 | Validtation loss: 0.3881
EPOCH 18 | Current learning rate: 0.0001
EPOCH 19 | Train loss: 0.3812
EPOCH 19 | Validtation loss: 0.381
EPOCH 19 | Current learning rate: 0.0001
EPOCH 20 | Train loss: 0.3781
EPOCH 20 | Validtation loss: 0.3898
EPOCH 20 | Current learning rate: 1e-05
EPOCH 21 | Train loss: 0.3781
EPOCH 21 | Validtation loss: 0.3819
EPOCH 21 | Current learning rate: 1e-05
EPOCH 22 | Train loss: 0.3773
EPOCH 22 | Validtation loss: 0.3851
EPOCH 22 | Current learning rate: 1e-05
EPOCH 23 | Train loss: 0.3788
EPOCH 23 | Validtation loss: 0.383
EPOCH 23 | Current learning rate: 1e-05
EPOCH 24 | Train loss: 0.3795
EPOCH 24 | Validtation loss: 0.3845
EPOCH 24 | Current learning rate: 1e-05
EPOCH 25 | Train loss: 0.3793
EPOCH 25 | Validtation loss: 0.3745
EPOCH 25 | Current learning rate: 1e-05
EPOCH 26 | Train loss: 0.3798
EPOCH 26 | Validtation loss: 0.3957
EPOCH 26 | Current learning rate: 1e-05
EPOCH 27 | Train loss: 0.3825
EPOCH 27 | Validtation loss: 0.3823
EPOCH 27 | Current learning rate: 1e-05
EPOCH 28 | Train loss: 0.3754
EPOCH 28 | Validtation loss: 0.3866
EPOCH 28 | Current learning rate: 1e-05
EPOCH 29 | Train loss: 0.3817
EPOCH 29 | Validtation loss: 0.3859
EPOCH 29 | Current learning rate: 1e-05
EPOCH 30 | Train loss: 0.3775
EPOCH 30 | Validtation loss: 0.3837
EPOCH 30 | Current learning rate: 1e-05
EPOCH 31 | Train loss: 0.3813
EPOCH 31 | Validtation loss: 0.3875
EPOCH 31 | Current learning rate: 1e-05
EPOCH 32 | Train loss: 0.3786
EPOCH 32 | Validtation loss: 0.3956
EPOCH 32 | Current learning rate: 1.0000000000000002e-06
EPOCH 33 | Train loss: 0.3771
EPOCH 33 | Validtation loss: 0.3856
EPOCH 33 | Current learning rate: 1.0000000000000002e-06
EPOCH 34 | Train loss: 0.3774
EPOCH 34 | Validtation loss: 0.3796
EPOCH 34 | Current learning rate: 1.0000000000000002e-06
EPOCH 35 | Train loss: 0.3763
EPOCH 35 | Validtation loss: 0.3925
EPOCH 35 | Current learning rate: 1.0000000000000002e-06
EPOCH 36 | Train loss: 0.3781
EPOCH 36 | Validtation loss: 0.3906
EPOCH 36 | Current learning rate: 1.0000000000000002e-06
EPOCH 37 | Train loss: 0.38
EPOCH 37 | Validtation loss: 0.3881
EPOCH 37 | Current learning rate: 1.0000000000000002e-06
EPOCH 38 | Train loss: 0.3779
EPOCH 38 | Validtation loss: 0.3819
EPOCH 38 | Current learning rate: 1.0000000000000002e-07
EPOCH 39 | Train loss: 0.38
EPOCH 39 | Validtation loss: 0.3814
EPOCH 39 | Current learning rate: 1.0000000000000002e-07
