
EPOCH 0 | Train loss: 0.3154
EPOCH 0 | Validtation loss: 0.2526
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.259
EPOCH 1 | Validtation loss: 0.249
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.2626
EPOCH 2 | Validtation loss: 0.2423
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.2591
EPOCH 3 | Validtation loss: 0.2475
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.2522
EPOCH 4 | Validtation loss: 0.2459
EPOCH 4 | Current learning rate: 0.001
EPOCH 0 | Train loss: 0.3154
EPOCH 0 | Validtation loss: 0.2526
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.259
EPOCH 1 | Validtation loss: 0.249
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.2626
EPOCH 2 | Validtation loss: 0.2423
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.2591
EPOCH 3 | Validtation loss: 0.2475
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.2522
EPOCH 4 | Validtation loss: 0.2459
EPOCH 4 | Current learning rate: 0.001
EPOCH 0 | Train loss: 0.2697
EPOCH 0 | Validtation loss: 0.1724
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.1574
EPOCH 1 | Validtation loss: 0.1438
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.1518
EPOCH 2 | Validtation loss: 0.143
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.1515
EPOCH 3 | Validtation loss: 0.1461
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.1543
EPOCH 4 | Validtation loss: 0.155
EPOCH 4 | Current learning rate: 0.001
EPOCH 5 | Train loss: 0.1507
EPOCH 5 | Validtation loss: 0.1587
EPOCH 5 | Current learning rate: 0.001
EPOCH 6 | Train loss: 0.1539
EPOCH 6 | Validtation loss: 0.1476
EPOCH 6 | Current learning rate: 0.001
EPOCH 7 | Train loss: 0.1507
EPOCH 7 | Validtation loss: 0.1367
EPOCH 7 | Current learning rate: 0.001
EPOCH 8 | Train loss: 0.1534
EPOCH 8 | Validtation loss: 0.1488
EPOCH 8 | Current learning rate: 0.001
EPOCH 9 | Train loss: 0.1495
EPOCH 9 | Validtation loss: 0.1472
EPOCH 9 | Current learning rate: 0.001
EPOCH 10 | Train loss: 0.1536
EPOCH 10 | Validtation loss: 0.1455
EPOCH 10 | Current learning rate: 0.001
EPOCH 11 | Train loss: 0.1506
EPOCH 11 | Validtation loss: 0.149
EPOCH 11 | Current learning rate: 0.001
EPOCH 12 | Train loss: 0.1516
EPOCH 12 | Validtation loss: 0.1437
EPOCH 12 | Current learning rate: 0.001
EPOCH 13 | Train loss: 0.1518
EPOCH 13 | Validtation loss: 0.1537
EPOCH 13 | Current learning rate: 0.001
EPOCH 14 | Train loss: 0.1555
EPOCH 14 | Validtation loss: 0.148
EPOCH 14 | Current learning rate: 0.0001
EPOCH 15 | Train loss: 0.1475
EPOCH 15 | Validtation loss: 0.1576
EPOCH 15 | Current learning rate: 0.0001
EPOCH 16 | Train loss: 0.1543
EPOCH 16 | Validtation loss: 0.1473
EPOCH 16 | Current learning rate: 0.0001
EPOCH 17 | Train loss: 0.1526
EPOCH 17 | Validtation loss: 0.1449
EPOCH 17 | Current learning rate: 0.0001
EPOCH 18 | Train loss: 0.1525
EPOCH 18 | Validtation loss: 0.1423
EPOCH 18 | Current learning rate: 0.0001
EPOCH 19 | Train loss: 0.1496
EPOCH 19 | Validtation loss: 0.1475
EPOCH 19 | Current learning rate: 0.0001
EPOCH 20 | Train loss: 0.1555
EPOCH 20 | Validtation loss: 0.1497
EPOCH 20 | Current learning rate: 1e-05
EPOCH 21 | Train loss: 0.1519
EPOCH 21 | Validtation loss: 0.1446
EPOCH 21 | Current learning rate: 1e-05
EPOCH 22 | Train loss: 0.1525
EPOCH 22 | Validtation loss: 0.1511
EPOCH 22 | Current learning rate: 1e-05
EPOCH 23 | Train loss: 0.1564
EPOCH 23 | Validtation loss: 0.1398
EPOCH 23 | Current learning rate: 1e-05
EPOCH 24 | Train loss: 0.1461
EPOCH 24 | Validtation loss: 0.152
EPOCH 24 | Current learning rate: 1e-05
EPOCH 25 | Train loss: 0.1504
EPOCH 25 | Validtation loss: 0.1651
EPOCH 25 | Current learning rate: 1e-05
EPOCH 26 | Train loss: 0.1523
EPOCH 26 | Validtation loss: 0.1447
EPOCH 26 | Current learning rate: 1.0000000000000002e-06
EPOCH 27 | Train loss: 0.1541
EPOCH 27 | Validtation loss: 0.1429
EPOCH 27 | Current learning rate: 1.0000000000000002e-06
EPOCH 28 | Train loss: 0.15
EPOCH 28 | Validtation loss: 0.149
EPOCH 28 | Current learning rate: 1.0000000000000002e-06
EPOCH 29 | Train loss: 0.1483
EPOCH 29 | Validtation loss: 0.1427
EPOCH 29 | Current learning rate: 1.0000000000000002e-06
EPOCH 30 | Train loss: 0.15
EPOCH 30 | Validtation loss: 0.1458
EPOCH 30 | Current learning rate: 1.0000000000000002e-06
EPOCH 31 | Train loss: 0.1526
EPOCH 31 | Validtation loss: 0.1441
EPOCH 31 | Current learning rate: 1.0000000000000002e-06
EPOCH 32 | Train loss: 0.1526
EPOCH 32 | Validtation loss: 0.1563
EPOCH 32 | Current learning rate: 1.0000000000000002e-07
EPOCH 33 | Train loss: 0.1553
EPOCH 33 | Validtation loss: 0.1485
EPOCH 33 | Current learning rate: 1.0000000000000002e-07
EPOCH 34 | Train loss: 0.1503
EPOCH 34 | Validtation loss: 0.1441
EPOCH 34 | Current learning rate: 1.0000000000000002e-07
EPOCH 35 | Train loss: 0.149
EPOCH 35 | Validtation loss: 0.1501
EPOCH 35 | Current learning rate: 1.0000000000000002e-07
EPOCH 36 | Train loss: 0.152
EPOCH 36 | Validtation loss: 0.145
EPOCH 36 | Current learning rate: 1.0000000000000002e-07
EPOCH 37 | Train loss: 0.1517
EPOCH 37 | Validtation loss: 0.1489
EPOCH 37 | Current learning rate: 1.0000000000000002e-07
EPOCH 38 | Train loss: 0.1519
EPOCH 38 | Validtation loss: 0.1456
EPOCH 38 | Current learning rate: 1.0000000000000004e-08
EPOCH 39 | Train loss: 0.1527
EPOCH 39 | Validtation loss: 0.1471
EPOCH 39 | Current learning rate: 1.0000000000000004e-08
