
EPOCH 0 | Train loss: 0.4975
EPOCH 0 | Validtation loss: 0.4085
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.4407
EPOCH 1 | Validtation loss: 0.4121
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.4203
EPOCH 2 | Validtation loss: 0.3853
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.4183
EPOCH 3 | Validtation loss: 0.4201
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.4252
EPOCH 4 | Validtation loss: 0.3966
EPOCH 4 | Current learning rate: 0.001
EPOCH 0 | Train loss: 0.4975
EPOCH 0 | Validtation loss: 0.4085
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.4407
EPOCH 1 | Validtation loss: 0.4121
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.4203
EPOCH 2 | Validtation loss: 0.3853
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.4183
EPOCH 3 | Validtation loss: 0.4201
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.4252
EPOCH 4 | Validtation loss: 0.3966
EPOCH 4 | Current learning rate: 0.001
EPOCH 0 | Train loss: 0.3365
EPOCH 0 | Validtation loss: 0.2488
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.2512
EPOCH 1 | Validtation loss: 0.2587
EPOCH 1 | Current learning rate: 0.001
EPOCH 2 | Train loss: 0.2455
EPOCH 2 | Validtation loss: 0.2537
EPOCH 2 | Current learning rate: 0.001
EPOCH 3 | Train loss: 0.2592
EPOCH 3 | Validtation loss: 0.2502
EPOCH 3 | Current learning rate: 0.001
EPOCH 4 | Train loss: 0.2573
EPOCH 4 | Validtation loss: 0.2566
EPOCH 4 | Current learning rate: 0.001
EPOCH 5 | Train loss: 0.2538
EPOCH 5 | Validtation loss: 0.2257
EPOCH 5 | Current learning rate: 0.001
EPOCH 6 | Train loss: 0.2498
EPOCH 6 | Validtation loss: 0.2539
EPOCH 6 | Current learning rate: 0.001
EPOCH 7 | Train loss: 0.2461
EPOCH 7 | Validtation loss: 0.2338
EPOCH 7 | Current learning rate: 0.001
EPOCH 8 | Train loss: 0.2477
EPOCH 8 | Validtation loss: 0.2467
EPOCH 8 | Current learning rate: 0.001
EPOCH 9 | Train loss: 0.2429
EPOCH 9 | Validtation loss: 0.2417
EPOCH 9 | Current learning rate: 0.001
EPOCH 10 | Train loss: 0.253
EPOCH 10 | Validtation loss: 0.2391
EPOCH 10 | Current learning rate: 0.001
EPOCH 11 | Train loss: 0.2616
EPOCH 11 | Validtation loss: 0.2346
EPOCH 11 | Current learning rate: 0.001
EPOCH 12 | Train loss: 0.2533
EPOCH 12 | Validtation loss: 0.2402
EPOCH 12 | Current learning rate: 0.0001
EPOCH 13 | Train loss: 0.2538
EPOCH 13 | Validtation loss: 0.257
EPOCH 13 | Current learning rate: 0.0001
EPOCH 14 | Train loss: 0.2491
EPOCH 14 | Validtation loss: 0.2431
EPOCH 14 | Current learning rate: 0.0001
EPOCH 15 | Train loss: 0.2577
EPOCH 15 | Validtation loss: 0.2354
EPOCH 15 | Current learning rate: 0.0001
EPOCH 16 | Train loss: 0.26
EPOCH 16 | Validtation loss: 0.2431
EPOCH 16 | Current learning rate: 0.0001
EPOCH 17 | Train loss: 0.2534
EPOCH 17 | Validtation loss: 0.2408
EPOCH 17 | Current learning rate: 0.0001
EPOCH 18 | Train loss: 0.2484
EPOCH 18 | Validtation loss: 0.2404
EPOCH 18 | Current learning rate: 1e-05
EPOCH 19 | Train loss: 0.2458
EPOCH 19 | Validtation loss: 0.2384
EPOCH 19 | Current learning rate: 1e-05
EPOCH 20 | Train loss: 0.2422
EPOCH 20 | Validtation loss: 0.2499
EPOCH 20 | Current learning rate: 1e-05
EPOCH 21 | Train loss: 0.2566
EPOCH 21 | Validtation loss: 0.2352
EPOCH 21 | Current learning rate: 1e-05
EPOCH 22 | Train loss: 0.2541
EPOCH 22 | Validtation loss: 0.239
EPOCH 22 | Current learning rate: 1e-05
EPOCH 23 | Train loss: 0.2496
EPOCH 23 | Validtation loss: 0.2449
EPOCH 23 | Current learning rate: 1e-05
EPOCH 24 | Train loss: 0.2569
EPOCH 24 | Validtation loss: 0.2406
EPOCH 24 | Current learning rate: 1.0000000000000002e-06
EPOCH 25 | Train loss: 0.2544
EPOCH 25 | Validtation loss: 0.2404
EPOCH 25 | Current learning rate: 1.0000000000000002e-06
EPOCH 26 | Train loss: 0.2488
EPOCH 26 | Validtation loss: 0.2461
EPOCH 26 | Current learning rate: 1.0000000000000002e-06
EPOCH 27 | Train loss: 0.2456
EPOCH 27 | Validtation loss: 0.2436
EPOCH 27 | Current learning rate: 1.0000000000000002e-06
EPOCH 28 | Train loss: 0.247
EPOCH 28 | Validtation loss: 0.2364
EPOCH 28 | Current learning rate: 1.0000000000000002e-06
EPOCH 29 | Train loss: 0.2435
EPOCH 29 | Validtation loss: 0.24
EPOCH 29 | Current learning rate: 1.0000000000000002e-06
EPOCH 30 | Train loss: 0.2506
EPOCH 30 | Validtation loss: 0.2566
EPOCH 30 | Current learning rate: 1.0000000000000002e-07
EPOCH 31 | Train loss: 0.2524
EPOCH 31 | Validtation loss: 0.2377
EPOCH 31 | Current learning rate: 1.0000000000000002e-07
EPOCH 32 | Train loss: 0.2447
EPOCH 32 | Validtation loss: 0.2404
EPOCH 32 | Current learning rate: 1.0000000000000002e-07
EPOCH 33 | Train loss: 0.2528
EPOCH 33 | Validtation loss: 0.2586
EPOCH 33 | Current learning rate: 1.0000000000000002e-07
EPOCH 34 | Train loss: 0.2432
EPOCH 34 | Validtation loss: 0.2718
EPOCH 34 | Current learning rate: 1.0000000000000002e-07
EPOCH 35 | Train loss: 0.2533
EPOCH 35 | Validtation loss: 0.2474
EPOCH 35 | Current learning rate: 1.0000000000000002e-07
EPOCH 36 | Train loss: 0.2482
EPOCH 36 | Validtation loss: 0.2401
EPOCH 36 | Current learning rate: 1.0000000000000004e-08
EPOCH 37 | Train loss: 0.2526
EPOCH 37 | Validtation loss: 0.2451
EPOCH 37 | Current learning rate: 1.0000000000000004e-08
EPOCH 38 | Train loss: 0.26
EPOCH 38 | Validtation loss: 0.2295
EPOCH 38 | Current learning rate: 1.0000000000000004e-08
EPOCH 39 | Train loss: 0.2573
EPOCH 39 | Validtation loss: 0.2321
EPOCH 39 | Current learning rate: 1.0000000000000004e-08
EPOCH 0 | Train loss: 0.3365
EPOCH 0 | Validtation loss: 0.2488
EPOCH 0 | Current learning rate: 0.001
EPOCH 1 | Train loss: 0.2512
EPOCH 1 | Validtation loss: 0.2587
EPOCH 1 | Current learning rate: 0.001
